n_iterations,initial_n_cnf,initial_n_literal,avg_n_cnf,avg_n_literal,avg_n_ratio,mode_n_cnf,mode_n_literal,mode_n_ratio,median_n_cnf,median_n_literal,median_n_ratio,ratio_of_avgs,ratio_of_modes,ratio_of_medians,solve_time,result,id,heuristic,human_difficulty,avg_human_solve_time,n_knowns
12,12014,26270,164.85714285714286,74.0,2.2148906051024153,160.0,72.0,2.2564102564102564,168.0,76.0,2.210526315789474,2.227799227799228,2.2222222222222223,2.210526315789474,0.948218822479248,True,diabolical_1309_23.txt,JEROSLOW_WANG,diabolical,1380,26
8,12014,26270,182.5,79.0,2.307740240610908,200.0,80.0,2.2564102564102564,181.0,79.0,2.2907051282051283,2.310126582278481,2.5,2.2911392405063293,0.9401814937591553,True,diabolical_1309_23.txt,DLCS,diabolical,1380,26
3,12014,26270,200.0,82.0,2.4390243902439024,200.0,82.0,2.4390243902439024,200.0,82.0,2.4390243902439024,2.4390243902439024,2.4390243902439024,2.4390243902439024,0.805152416229248,True,diabolical_1309_23.txt,RANDOM,diabolical,1380,26
12,12014,26270,164.85714285714286,74.0,2.2148906051024153,160.0,72.0,2.2564102564102564,168.0,76.0,2.210526315789474,2.227799227799228,2.2222222222222223,2.210526315789474,1.0209035873413086,True,diabolical_1309_23.txt,DLIS,diabolical,1380,26
6,12014,26270,458.3333333333333,171.33333333333334,2.67291706508574,496.0,168.0,2.608433734939759,446.0,168.0,2.6547619047619047,2.6750972762645913,2.9523809523809526,2.6547619047619047,0.8520083427429199,True,diabolical_1809_25.txt,RANDOM,diabolical,1500,26
18,12014,26270,447.44444444444446,172.0,2.598539468680178,483.0,164.0,2.5930232558139537,446.0,172.0,2.5930232558139537,2.601421188630491,2.9451219512195124,2.5930232558139537,0.8716685771942139,True,diabolical_1809_25.txt,DLCS,diabolical,1500,26
34,12014,26270,386.3636363636364,159.0,2.415949751107048,384.0,138.0,2.5930232558139537,380.0,159.0,2.389873417721519,2.4299599771297884,2.782608695652174,2.389937106918239,0.9113748073577881,True,diabolical_1809_25.txt,DLIS,diabolical,1500,26
42,12014,26270,375.1666666666667,156.0,2.3851334256942813,384.0,130.0,2.5930232558139537,372.0,157.0,2.3693605972086984,2.4049145299145303,2.953846153846154,2.3694267515923566,0.9637148380279541,True,diabolical_1809_25.txt,JEROSLOW_WANG,diabolical,1500,26
42,12014,26270,375.1666666666667,156.0,2.3851334256942813,384.0,130.0,2.5930232558139537,372.0,157.0,2.3693605972086984,2.4049145299145303,2.953846153846154,2.3694267515923566,0.9396219253540039,True,diabolical_1809_25.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1500,26
24,12014,26270,431.6666666666667,169.0,2.5493773316242136,384.0,160.0,2.5930232558139537,429.5,169.0,2.541316526610644,2.554240631163708,2.4,2.5414201183431953,0.9360997676849365,True,diabolical_1809_25.txt,DLIS_negated,diabolical,1500,26
100,12014,26270,677.25,253.0,2.6357819064333734,640.0,256.0,2.16,655.0,253.0,2.5888951381077367,2.6768774703557314,2.5,2.588932806324111,1.750535249710083,True,diabolical_2108_29.txt,DLIS,diabolical,1740,26
100,12014,26270,664.22,247.48,2.6369030470712835,512.0,256.0,2.8484848484848486,626.5,243.0,2.578139818452784,2.683934055277194,2.0,2.578189300411523,1.8275601863861084,True,diabolical_2108_29.txt,DLIS_negated,diabolical,1740,26
132,12014,26270,608.9367088607595,234.35443037974684,2.5465672789118,480.0,202.0,2.4,552.0,230.0,2.466666666666667,2.5983579993518418,2.376237623762376,2.4,1.644669771194458,True,diabolical_2108_29.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1740,26
158,12014,26270,641.0,243.0632911392405,2.5976354543476052,480.0,256.0,2.4357798165137616,612.0,240.0,2.55,2.6371732111238413,1.875,2.55,2.214151382446289,True,diabolical_2108_29.txt,DLCS,diabolical,1740,26
2,12014,26270,1020.0,308.0,3.311688311688312,1020.0,308.0,3.311688311688312,1020.0,308.0,3.311688311688312,3.311688311688312,3.311688311688312,3.311688311688312,0.990264892578125,True,diabolical_2108_29.txt,RANDOM,diabolical,1740,26
132,12014,26270,608.9367088607595,234.35443037974684,2.5465672789118,480.0,202.0,2.4,552.0,230.0,2.466666666666667,2.5983579993518418,2.376237623762376,2.4,1.6853890419006348,True,diabolical_2108_29.txt,JEROSLOW_WANG,diabolical,1740,26
5,12011,26267,116.0,57.0,2.0344827586206895,120.0,56.0,2.0689655172413794,116.0,57.0,2.0344827586206895,2.0350877192982457,2.142857142857143,2.0350877192982457,1.0250558853149414,True,diabolical_2308_24.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1440,23
2,12011,26267,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,1.0165040493011475,True,diabolical_2308_24.txt,RANDOM,diabolical,1440,23
2,12011,26267,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.978381872177124,True,diabolical_2308_24.txt,DLCS,diabolical,1440,23
5,12011,26267,116.0,57.0,2.0344827586206895,120.0,56.0,2.0689655172413794,116.0,57.0,2.0344827586206895,2.0350877192982457,2.142857142857143,2.0350877192982457,0.8832950592041016,True,diabolical_2308_24.txt,DLIS,diabolical,1440,23
5,12011,26267,116.0,57.0,2.0344827586206895,120.0,56.0,2.0689655172413794,116.0,57.0,2.0344827586206895,2.0350877192982457,2.142857142857143,2.0350877192982457,1.02012300491333,True,diabolical_2308_24.txt,JEROSLOW_WANG,diabolical,1440,23
2,12011,26267,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,120.0,58.0,2.0689655172413794,2.0689655172413794,2.0689655172413794,2.0689655172413794,0.8625257015228271,True,diabolical_2308_24.txt,DLIS_negated,diabolical,1440,23
8,12015,26271,432.5,163.0,2.6525564543630713,425.0,160.0,2.623456790123457,432.0,163.0,2.6501430292080697,2.6533742331288344,2.65625,2.6503067484662575,0.9013204574584961,True,diabolical_2808_29.txt,DLIS_negated,diabolical,1740,27
33,12015,26271,361.5882352941176,150.0,2.399189085008574,320.0,160.0,2.623456790123457,355.0,150.0,2.3666666666666667,2.4105882352941177,2.0,2.3666666666666667,0.8780782222747803,True,diabolical_2808_29.txt,JEROSLOW_WANG,diabolical,1740,27
33,12015,26271,361.5882352941176,150.0,2.399189085008574,320.0,160.0,2.623456790123457,355.0,150.0,2.3666666666666667,2.4105882352941177,2.0,2.3666666666666667,0.8912372589111328,True,diabolical_2808_29.txt,JEROSLOW_WANG_TWO_SIDED,diabolical,1740,27
6,12015,26271,439.3333333333333,164.0,2.678408605817428,425.0,162.0,2.623456790123457,439.0,164.0,2.676829268292683,2.678861788617886,2.623456790123457,2.676829268292683,1.032485008239746,True,diabolical_2808_29.txt,DLCS,diabolical,1740,27
5,12015,26271,418.3333333333333,156.66666666666666,2.6644340427913744,358.0,140.0,2.557142857142857,443.0,164.0,2.701219512195122,2.670212765957447,2.557142857142857,2.701219512195122,0.8854987621307373,True,diabolical_2808_29.txt,RANDOM,diabolical,1740,27
34,12015,26271,354.3888888888889,148.0,2.3793681878038413,320.0,160.0,2.623456790123457,350.5,149.0,2.352252252252252,2.3945195195195197,2.0,2.3523489932885906,1.09080171585083,True,diabolical_2808_29.txt,DLIS,diabolical,1740,27
5,12012,26268,410.5,165.0,2.4871323529411766,394.0,160.0,2.511764705882353,410.5,165.0,2.4871323529411766,2.487878787878788,2.4625,2.487878787878788,0.9885878562927246,True,diabolical_3008_26.txt,RANDOM,diabolical,1560,24
4,12012,26268,421.0,169.0,2.491001400560224,427.0,168.0,2.511764705882353,421.0,169.0,2.491001400560224,2.4911242603550297,2.5416666666666665,2.4911242603550297,0.9721934795379639,True,diabolical_3008_26.txt,DLCS,diabolical,1560,24
